,gamma,PHI,x_vals,llh,delta_llh
107,2.5653061224489795,-0.75,"[ 2.95233205e-02  7.99932666e+00  5.52269560e-01  1.48996734e-01
  7.48645459e-01 -1.62215641e+02]",-293599.07903932844,20.60500235366635
108,2.5653061224489795,-0.7,"[ 2.93847673e-02  7.99932662e+00  5.52267114e-01  1.48998837e-01
  7.48331475e-01 -1.62215634e+02]",-293599.2949790848,20.389062597299926
109,2.5653061224489795,-0.6499999999999999,"[ 2.93787133e-02  7.99932659e+00  5.52268045e-01  1.48998529e-01
  7.48331917e-01 -1.62215634e+02]",-293599.5290844434,20.154957238701172
110,2.5653061224489795,-0.6,"[ 2.93606130e-02  7.99932659e+00  5.52268017e-01  1.48996645e-01
  7.48330990e-01 -1.62215633e+02]",-293599.78438426944,19.899657412664965
111,2.5653061224489795,-0.55,"[ 2.93604618e-02  7.99932659e+00  5.52268039e-01  1.48996638e-01
  7.48331003e-01 -1.62215633e+02]",-293600.06218379736,19.621857884747442
112,2.5653061224489795,-0.5,"[ 2.89223851e-02  7.99932413e+00  5.52268453e-01  1.48997418e-01
  7.48331469e-01 -1.62215621e+02]",-293600.365388411,19.318653271126095
113,2.5653061224489795,-0.44999999999999996,"[ 2.89099656e-02  7.99932413e+00  5.52267623e-01  1.48996644e-01
  7.48332370e-01 -1.62215621e+02]",-293600.69319024426,18.990851437847596
114,2.5653061224489795,-0.3999999999999999,"[ 2.84954008e-02  7.99932439e+00  5.52268038e-01  1.48996644e-01
  7.48331660e-01 -1.62215605e+02]",-293601.04850066075,18.63554102135822
115,2.5653061224489795,-0.35,"[ 2.84953532e-02  7.99932439e+00  5.52268045e-01  1.48996642e-01
  7.48331653e-01 -1.62215605e+02]",-293601.4311387717,18.252902910404373
116,2.5653061224489795,-0.29999999999999993,"[ 2.80577812e-02  7.99932467e+00  5.52268048e-01  1.48996664e-01
  7.48331486e-01 -1.62215585e+02]",-293601.84340430424,17.840637377870735
117,2.5653061224489795,-0.25,"[ 2.80573863e-02  7.99932467e+00  5.52268008e-01  1.48996645e-01
  7.48331429e-01 -1.62215585e+02]",-293602.2844072755,17.399634406610858
118,2.5653061224489795,-0.19999999999999996,"[ 2.75320974e-02  7.99932500e+00  5.52266786e-01  1.48994388e-01
  7.48331470e-01 -1.62215562e+02]",-293602.7561513414,16.927890340681188
119,2.5653061224489795,-0.1499999999999999,"[ 2.71292410e-02  7.99932531e+00  5.52268043e-01  1.48996655e-01
  7.48331503e-01 -1.62215544e+02]",-293603.25797272834,16.426068953762297
120,2.5653061224489795,-0.09999999999999998,"[ 2.71290608e-02  7.99932531e+00  5.52268065e-01  1.48996645e-01
  7.48331475e-01 -1.62215544e+02]",-293603.78775784915,15.896283832960762
121,2.5653061224489795,-0.04999999999999993,"[ 2.71285025e-02  7.99932531e+00  5.52268009e-01  1.48996618e-01
  7.48331395e-01 -1.62215544e+02]",-293604.34324263973,15.340799042372964
122,2.5653061224489795,0.0,"[ 2.60993719e-02  7.99932606e+00  5.52259652e-01  1.48996644e-01
  7.48322648e-01 -1.62215493e+02]",-293604.9299877297,14.75405395240523
