,GAMMA,gamma,x_vals,llh,delta_llh
87,0.16326530612244897,3.6519999999999997,"[ 3.67126822e-04 -7.78484479e-02  5.52268043e-01  1.49331857e-01
  6.70819798e-01 -1.29972081e+02]",-293616.2049142154,5.135825351870153
88,0.16326530612244897,3.6839999999999997,"[ 1.66735277e-03 -1.06130707e-01  5.52268041e-01  1.49331832e-01
  6.70819801e-01 -1.29972096e+02]",-293615.61430417415,5.726435393153224
89,0.16326530612244897,3.7159999999999997,"[ 1.12125550e-03 -1.07224283e-01  5.52268042e-01  1.49328599e-01
  6.70820335e-01 -1.29972093e+02]",-293614.9859139038,6.35482566349674
90,0.16326530612244897,3.7479999999999998,"[ 2.85243225e-03 -1.38712843e-01  5.52268041e-01  1.49236160e-01
  6.70821240e-01 -1.29972097e+02]",-293614.39383798174,6.946901585557498
91,0.16326530612244897,3.78,"[ 2.84994639e-03 -1.38717457e-01  5.52268408e-01  1.49236286e-01
  6.70821064e-01 -1.29972097e+02]",-293613.7570243353,7.5837152319727466
92,0.16326530612244897,3.812,"[ 4.68250129e-03 -1.81772143e-01  5.52268041e-01  1.49312363e-01
  6.70821127e-01 -1.29971998e+02]",-293613.1904171164,8.15032245090697
93,0.16326530612244897,3.8439999999999994,"[ 4.03806446e-03 -1.82942959e-01  5.52268047e-01  1.49331393e-01
  6.70820266e-01 -1.29972002e+02]",-293612.5790124297,8.761727137607522
94,0.16326530612244897,3.8759999999999994,"[ 4.03554702e-03 -1.82959684e-01  5.52267142e-01  1.49331865e-01
  6.70821772e-01 -1.29972002e+02]",-293611.92460127594,9.416138291358948
95,0.16326530612244897,3.9079999999999995,"[ 7.02237551e-03 -2.50162064e-01  5.52266192e-01  1.49331838e-01
  6.70820604e-01 -1.29971979e+02]",-293611.471406961,9.869332606322132
96,0.16326530612244897,3.9399999999999995,"[ 6.43821940e-03 -2.51217196e-01  5.52261472e-01  1.49331843e-01
  6.70819477e-01 -1.29971982e+02]",-293610.9044196686,10.436319898697548
97,0.16326530612244897,3.9719999999999995,"[ 8.54878971e-03 -2.98393983e-01  5.52128789e-01  1.49076755e-01
  6.70820393e-01 -1.29972005e+02]",-293610.40761293296,10.933126634336077
98,0.16326530612244897,4.004,"[ 9.37886877e-03 -3.25565477e-01  5.52195728e-01  1.49331015e-01
  6.70820391e-01 -1.29972011e+02]",-293609.9089202954,11.43181927187834
99,0.16326530612244897,4.036,"[ 8.96105512e-03 -3.26263390e-01  5.52268042e-01  1.49328872e-01
  6.70822790e-01 -1.29972011e+02]",-293609.3989380455,11.941801521810703
100,0.16326530612244897,4.068,"[ 1.09505228e-02 -3.80805430e-01  5.52224506e-01  1.49033117e-01
  6.70820393e-01 -1.29974514e+02]",-293608.9692420535,12.371497513784561
101,0.16326530612244897,4.1,"[ 1.04149049e-02 -3.82103048e-01  5.52268216e-01  1.49331844e-01
  6.70819896e-01 -1.29974515e+02]",-293608.5050520883,12.835687479004264
102,0.32653061224489793,2.5,"[ 1.78638546e-02 -7.87912482e-01  5.51960722e-01  1.49330821e-01
  6.70820389e-01 -1.29970387e+02]",-293612.5117089274,8.829030639899429
103,0.32653061224489793,2.532,"[ 1.77382508e-02 -7.30432449e-01  5.52268045e-01  1.49329762e-01
  6.70820393e-01 -1.29970502e+02]",-293613.0598000938,8.28093947347952
104,0.32653061224489793,2.564,"[ 1.89224441e-02 -7.26940820e-01  5.52268045e-01  1.49324955e-01
  6.70819987e-01 -1.29970502e+02]",-293613.5077214447,7.833018122590147
105,0.32653061224489793,2.596,"[ 1.61564950e-02 -6.27166633e-01  5.52268050e-01  1.49331420e-01
  6.70825815e-01 -1.29970564e+02]",-293614.14937683725,7.191362730052788
106,0.32653061224489793,2.628,"[ 1.59414345e-02 -5.81498638e-01  5.52264239e-01  1.49163444e-01
  6.70820393e-01 -1.29970571e+02]",-293614.6930756526,6.64766391471494
107,0.32653061224489793,2.66,"[ 1.46498962e-02 -5.35341277e-01  5.52267982e-01  1.49329292e-01
  6.70820392e-01 -1.29970574e+02]",-293615.2402524131,6.100487154209986
108,0.32653061224489793,2.692,"[ 1.36427514e-02 -4.89159882e-01  5.52268041e-01  1.49331801e-01
  6.70820555e-01 -1.29970575e+02]",-293615.7819760752,5.55876349209575
109,0.32653061224489793,2.7239999999999998,"[ 1.26331477e-02 -4.46378380e-01  5.52265379e-01  1.49331837e-01
  6.70823632e-01 -1.29970657e+02]",-293616.317761179,5.022978388296906
110,0.32653061224489793,2.756,"[ 1.18177043e-02 -4.06608572e-01  5.52268046e-01  1.49331839e-01
  6.70820660e-01 -1.29970739e+02]",-293616.84566779115,4.495071776153054
111,0.32653061224489793,2.788,"[ 1.26385227e-02 -4.04324520e-01  5.52268044e-01  1.49224535e-01
  6.70825125e-01 -1.29970744e+02]",-293617.28938908887,4.051350478432141
112,0.32653061224489793,2.82,"[ 9.88538741e-03 -3.32069219e-01  5.52267724e-01  1.49331845e-01
  6.70819116e-01 -1.29970769e+02]",-293617.86459453416,3.4761450331425294
113,0.32653061224489793,2.852,"[ 1.07202646e-02 -3.30000529e-01  5.52215096e-01  1.49290530e-01
  6.70820392e-01 -1.29970769e+02]",-293618.28457706474,3.0561625025584362
114,0.32653061224489793,2.884,"[ 7.73556531e-03 -2.65427644e-01  5.52268043e-01  1.49219018e-01
  6.70821843e-01 -1.29971053e+02]",-293618.81084807223,2.529891495069023
115,0.32653061224489793,2.916,"[ 8.86065922e-03 -2.62682242e-01  5.52268045e-01  1.49329307e-01
  6.70869841e-01 -1.29971053e+02]",-293619.1964452371,2.1442943302099593
116,0.32653061224489793,2.948,"[ 5.97253965e-03 -2.05429022e-01  5.52268048e-01  1.49322156e-01
  6.70879313e-01 -1.29971183e+02]",-293619.6544824596,1.6862571077072062
117,0.32653061224489793,2.98,"[ 6.66221715e-03 -2.03892841e-01  5.52202960e-01  1.49320776e-01
  6.70820491e-01 -1.29971179e+02]",-293619.9890117333,1.3517278339713812
118,0.32653061224489793,3.012,"[ 5.03762237e-03 -1.99823845e-01  5.52267981e-01  1.49326348e-01
  6.70819679e-01 -1.29971190e+02]",-293620.22256492,1.1181746472720988
119,0.32653061224489793,3.044,"[ 3.16619365e-03 -1.28693029e-01  5.52268044e-01  1.49276853e-01
  6.70702318e-01 -1.29971330e+02]",-293620.6461600967,0.694579470611643
120,0.32653061224489793,3.0759999999999996,"[ 3.50461775e-03 -1.27878560e-01  5.52268041e-01  1.49331344e-01
  6.70821928e-01 -1.29971330e+02]",-293620.8835725223,0.45716704498045146
121,0.32653061224489793,3.1079999999999997,"[ 4.47256253e-03 -1.24076317e-01  5.52268044e-01  1.49331836e-01
  6.70823592e-01 -1.29971340e+02]",-293621.0266226001,0.31411696720169857
122,0.32653061224489793,3.1399999999999997,"[ 2.14644240e-03 -1.18344376e-01  5.52268048e-01  1.49306745e-01
  6.71016019e-01 -1.29971340e+02]",-293621.1143614792,0.22637808811850846
123,0.32653061224489793,3.1719999999999997,"[ 2.16457424e-04 -6.45425910e-02  5.52268042e-01  1.49331407e-01
  6.70821242e-01 -1.29971339e+02]",-293621.3148911657,0.025848401593975723
124,0.32653061224489793,3.2039999999999997,"[ 2.16838593e-04 -6.45419297e-02  5.52268099e-01  1.49331426e-01
  6.70821215e-01 -1.29971339e+02]",-293621.33306690666,0.007672660634852946
125,0.32653061224489793,3.2359999999999998,"[ 9.06079991e-04 -6.30574975e-02  5.52268042e-01  1.49331028e-01
  6.70824132e-01 -1.29971339e+02]",-293621.28086889524,0.0598706720629707
126,0.32653061224489793,3.268,"[-9.13462343e-04 -3.76898773e-02  5.52268005e-01  1.49331547e-01
  6.70820567e-01 -1.29971346e+02]",-293621.21262158226,0.12811798503389582
127,0.32653061224489793,3.3,"[-9.13027895e-04 -3.76890760e-02  5.52268081e-01  1.49331600e-01
  6.70820465e-01 -1.29971346e+02]",-293621.0559516615,0.2847879058099352
128,0.32653061224489793,3.332,"[-9.10275765e-04 -3.76828014e-02  5.52267766e-01  1.49331783e-01
  6.70820435e-01 -1.29971346e+02]",-293620.83877151995,0.5019680473487824
129,0.32653061224489793,3.364,"[-9.09645981e-04 -3.76804051e-02  5.52267966e-01  1.49331851e-01
  6.70820374e-01 -1.29971346e+02]",-293620.56654439215,0.774195175152272
130,0.32653061224489793,3.396,"[-9.09661310e-04 -3.76794793e-02  5.52268038e-01  1.49331818e-01
  6.70820463e-01 -1.29971346e+02]",-293620.2435152515,1.0972243158030324
131,0.32653061224489793,3.428,"[-9.09700002e-04 -3.76794173e-02  5.52268045e-01  1.49331820e-01
  6.70820460e-01 -1.29971346e+02]",-293619.8728151923,1.4679243749706075
132,0.32653061224489793,3.46,"[-9.09936211e-04 -3.76792508e-02  5.52268020e-01  1.49331832e-01
  6.70820443e-01 -1.29971346e+02]",-293619.4565564629,1.8841831043828279
133,0.32653061224489793,3.492,"[-9.10019197e-04 -3.76792730e-02  5.52268033e-01  1.49331836e-01
  6.70820438e-01 -1.29971346e+02]",-293618.9959043585,2.344835208787117
134,0.32653061224489793,3.524,"[-1.43628124e-03 -3.84927087e-02  5.52266043e-01  1.49331839e-01
  6.70820421e-01 -1.29971349e+02]",-293618.4931318981,2.8476076691877097
135,0.32653061224489793,3.556,"[-6.51638328e-04 -5.28479944e-02  5.52112714e-01  1.49324323e-01
  6.70820391e-01 -1.29971328e+02]",-293617.9635303052,3.377209262107499
136,0.32653061224489793,3.588,"[-6.57862873e-05 -6.40549437e-02  5.52268049e-01  1.49330737e-01
  6.70819031e-01 -1.29971309e+02]",-293617.4079785656,3.932761001691688
137,0.32653061224489793,3.62,"[ 5.05438242e-04 -7.69847107e-02  5.52265669e-01  1.49331836e-01
  6.70820397e-01 -1.29971315e+02]",-293616.8297020749,4.511037492426112
138,0.32653061224489793,3.6519999999999997,"[ 1.48782797e-04 -7.81412062e-02  5.52266170e-01  1.49331835e-01
  6.70814485e-01 -1.29971315e+02]",-293616.2239719339,5.116767633415293
139,0.32653061224489793,3.6839999999999997,"[ 1.72557903e-03 -1.06459844e-01  5.52222156e-01  1.49279790e-01
  6.70820389e-01 -1.29971309e+02]",-293615.63138057955,5.709358987747692
140,0.32653061224489793,3.7159999999999997,"[ 1.45412716e-03 -1.06974954e-01  5.52268042e-01  1.49295659e-01
  6.70852846e-01 -1.29971309e+02]",-293615.0058594447,6.334880122623872
141,0.32653061224489793,3.7479999999999998,"[ 3.00092692e-03 -1.39848448e-01  5.52267735e-01  1.49331840e-01
  6.70820476e-01 -1.29971579e+02]",-293614.41377961927,6.926959948032163
142,0.32653061224489793,3.78,"[ 2.46719641e-03 -1.40848176e-01  5.52262530e-01  1.49322571e-01
  6.70820388e-01 -1.29971579e+02]",-293613.78481028473,7.5559292825637385
143,0.32653061224489793,3.812,"[ 4.60762284e-03 -1.81608000e-01  5.52268043e-01  1.49263545e-01
  6.70820386e-01 -1.29971579e+02]",-293613.2096885849,8.131050982396118
144,0.32653061224489793,3.8439999999999994,"[ 4.01660827e-03 -1.82672409e-01  5.52267970e-01  1.49331841e-01
  6.70820376e-01 -1.29971573e+02]",-293612.6006638627,8.740075704583433
145,0.32653061224489793,3.8759999999999994,"[ 6.17022573e-03 -2.23947278e-01  5.52267948e-01  1.49150432e-01
  6.70820392e-01 -1.29971702e+02]",-293612.0481822947,9.292557272594422
146,0.32653061224489793,3.9079999999999995,"[ 5.89348304e-03 -2.26006818e-01  5.52268725e-01  1.49332523e-01
  6.70820392e-01 -1.29971704e+02]",-293611.46502952435,9.875710042950232
147,0.32653061224489793,3.9399999999999995,"[ 4.99440365e-03 -2.27767632e-01  5.52268043e-01  1.49269788e-01
  6.70820925e-01 -1.29971704e+02]",-293610.84264763055,10.498091936751734
