,decay_rate,bkg_norm,signal_norm,spectral_index,theta_12,theta_13,theta_23,delta_cp,llh,delta_llh
49,0.9824561403508771,-9.182761201839414e-06,-0.0505203531337091,3.207929630810845,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.34028005163,0.0008746169041842222
50,1.0025062656641603,-8.971979920508702e-06,-0.050208161284860664,3.2083019008694555,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3401959279,0.0009587406530044973
51,1.0225563909774436,-9.486164373077202e-06,-0.049885079173215725,3.208687207934343,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3401038262,0.0010508423438295722
52,1.0426065162907268,-6.575874353845963e-06,-0.04951960007811679,3.2091074737987553,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3400029297,0.0011517388629727066
53,1.06265664160401,-1.075930690747443e-05,-0.049160757903632106,3.2095167880538935,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3398926686,0.0012619999470189214
54,1.0827067669172932,-7.469623317254154e-06,-0.04884893054546007,3.2099040803596024,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.339771679,0.001382989517878741
55,1.1027568922305764,-1.1364274343795143e-05,-0.04840861993542227,3.2104235578212936,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.33963974164,0.0015149269020184875
56,1.1228070175438596,-8.478484551203909e-06,-0.0480423976912786,3.2108056368475126,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3394947098,0.0016599587397649884
57,1.1428571428571428,-1.2110261702304144e-05,-0.047549261210214855,3.2114103884510152,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3393369231,0.0018177454476244748
58,1.162907268170426,-1.1801356538074534e-05,-0.047106177470100395,3.2119587291100435,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3391638582,0.0019908103276975453
59,1.1829573934837092,-1.215963522664379e-05,-0.046624717994604034,3.2125230389412907,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3389745468,0.0021801217226311564
60,1.2030075187969924,-1.2743139879127542e-05,-0.04611740467572343,3.2130950802846088,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3387674657,0.002387202810496092
61,1.2230576441102756,-1.2937133607276535e-05,-0.04561766086359355,3.2137235666728845,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3385410501,0.002613618446048349
62,1.2431077694235588,-1.3416467502408549e-05,-0.045027236757837825,3.2143818435504024,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.33829336055,0.0028613079921342432
63,1.263157894736842,-1.1405195150393705e-05,-0.04451991381703063,3.2149610114823473,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3380226962,0.0031319723348133266
64,1.2832080200501252,-1.4454283026293155e-05,-0.04386498277766731,3.2157550938268615,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.33772684156,0.0034278269740752876
65,1.3032581453634084,-1.5693861853088276e-05,-0.043259328367927945,3.2165092264923008,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.33740355354,0.0037511150003410876
66,1.3233082706766917,-1.6865883809113902e-05,-0.042615135881699136,3.2172705538553745,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3370502562,0.004104412335436791
67,1.3433583959899749,-1.5997298048665104e-05,-0.04198343135465204,3.217952233876488,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3366642353,0.004490433260798454
68,1.363408521303258,-1.5417222505856952e-05,-0.041245114104721,3.218864792880168,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.33624273766,0.004911930882371962
69,1.3834586466165413,-1.4588514933001763e-05,-0.04052728014133589,3.2196944911087737,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.33578229643,0.005372372106648982
70,1.4035087719298245,-1.3489449085294282e-05,-0.039740134249331094,3.2206396972592644,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3352795432,0.005875125352758914
71,1.4235588972431077,-1.4954087391926604e-05,-0.03894523876662683,3.2215623767081043,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3347307713,0.006423897226341069
72,1.443609022556391,-1.5189793861139856e-05,-0.038101893603932166,3.222592432585535,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.33413181826,0.007022850273642689
73,1.463659147869674,-1.5082066100326542e-05,-0.037203295772928205,3.2236141831657474,0.552268050859363,0.1493318452306808,0.6708203932499369,-130.0,-293621.3334782997,0.007676368812099099
