,bkg_norm,signal_norm,spectral_index,decay_rate1,decay_rate2,llh,delta_llh,m1_tau1,m2_tau2
15,1.3742019531328828e-05,-0.007926656434547284,3.256885828020742,0.0,3.0612244897959187,-204314.0155210204,0.09688957492471673,-6.17092597407396,-3.109701484278041
16,3.510294428638707e-05,0.0022863801330965895,3.255178633075956,0.0,3.2653061224489797,-204314.03018372567,0.08222686965018511,-6.17092597407396,-2.90561985162498
17,4.992104230889168e-05,0.010640057712771003,3.2498805607442853,0.0,3.4693877551020407,-204314.0091797576,0.10323083773255348,-6.17092597407396,-2.701538218971919
18,5.2491106876941084e-05,0.017155188797847828,3.242486957451939,0.0,3.673469387755102,-204313.97606821122,0.13634238409576938,-6.17092597407396,-2.497456586318858
19,4.385103106130387e-05,0.02202076721789502,3.234373781670107,0.0,3.8775510204081636,-204313.9562120118,0.1561985835141968,-6.17092597407396,-2.293374953665797
20,2.9174187373715548e-05,0.02548371458762729,3.2265418612677044,0.0,4.081632653061225,-204313.96178288388,0.1506277114385739,-6.17092597407396,-2.089293321012736
21,1.44725781959169e-05,0.027807484341611823,3.219617855364529,0.0,4.285714285714286,-204313.98873561213,0.12367498318781145,-6.17092597407396,-1.885211688359675
22,3.4457807081677545e-06,0.029256163285978177,3.2139053700082494,0.0,4.4897959183673475,-204314.02394991348,0.08846068184357136,-6.17092597407396,-1.6811300557066122
23,-2.8595658565616895e-06,0.030090095096068005,3.2095012685315765,0.0,4.6938775510204085,-204314.05589949063,0.056511104688979685,-6.17092597407396,-1.4770484230535512
24,-5.562091776700066e-06,0.03053213946250274,3.2063306973451438,0.0,4.8979591836734695,-204314.0793200976,0.03309049771632999,-6.17092597407396,-1.2729667904004902
25,-5.878253496220831e-06,0.030740905528029057,3.2041833112093103,0.0,5.1020408163265305,-204314.09416612503,0.018244470295030624,-6.17092597407396,-1.0688851577474292
26,-5.321138001647058e-06,0.030830490770122863,3.2028143358710053,0.0,5.3061224489795915,-204314.10273076608,0.009679829236119986,-6.17092597407396,-0.8648035250943682
27,-4.353030230631078e-06,0.030859685567005513,3.2019732539311607,0.0,5.510204081632653,-204314.10741263165,0.004997963667847216,-6.17092597407396,-0.6607218924413054
28,-3.266839442881865e-06,0.030862400648662493,3.2014725466387226,0.0,5.714285714285714,-204314.10987965812,0.0025309371994808316,-6.17092597407396,-0.4566402597882444
29,-2.6432304331213384e-06,0.030857569162899706,3.20118320861162,0.0,5.918367346938775,-204314.11112720027,0.00128339504590258,-6.17092597407396,-0.2525586271351834
30,-2.0191035972389667e-06,0.03085022028542624,3.20102260751766,0.0,6.122448979591837,-204314.1117292072,0.0006813881336711347,-6.17092597407396,-0.04847699448212239
31,-1.5547454603172745e-06,0.030846311721987905,3.200934687428375,0.0,6.326530612244898,-204314.11200739729,0.0004031980352010578,-6.17092597407396,0.15560463817093861
32,-1.4204218924824596e-06,0.03084125766388463,3.2008847698789102,0.0,6.530612244897959,-204314.11213163097,0.0002789643476717174,-6.17092597407396,0.3596862708239996
33,-1.3445511935860463e-06,0.03083978931115161,3.200862291534949,0.0,6.73469387755102,-204314.11218580653,0.0002247887896373868,-6.17092597407396,0.5637679034770606
34,-1.3343363167595881e-06,0.03083738870334558,3.2008484461765745,0.0,6.938775510204081,-204314.11220903476,0.00020156055688858032,-6.17092597407396,0.7678495361301216
35,-1.2580172162065465e-06,0.030837901278408762,3.200841702671307,0.0,7.142857142857143,-204314.11221882218,0.00019177314243279397,-6.17092597407396,0.9719311687831826
36,-1.1663378185377293e-06,0.03083656704018636,3.200839160956357,0.0,7.346938775510204,-204314.11222283755,0.0001877577742561698,-6.17092597407396,1.1760128014362436
37,-1.2328467319155798e-06,0.03083798237612895,3.200839399100793,0.0,7.551020408163265,-204314.11222440723,0.00018618808826431632,-6.17092597407396,1.3800944340893047
38,-1.174758193576436e-06,0.03083812848640135,3.2008358858250334,0.0,7.755102040816327,-204314.11222496882,0.0001856265007518232,-6.17092597407396,1.5841760667423657
39,-1.1464002858635287e-06,0.03083621408218095,3.2008363468167156,0.0,7.959183673469388,-204314.11222515607,0.00018543924670666456,-6.17092597407396,1.7882576993954302
40,-1.1808064003464082e-06,0.03083669076880426,3.2008356731125915,0.0,8.16326530612245,-204314.11222520826,0.00018538706353865564,-6.17092597407396,1.9923393320484877
41,-1.168337255186577e-06,0.03083664314806759,3.2008356830696445,0.0,8.36734693877551,-204314.11222522156,0.0001853737630881369,-6.17092597407396,2.1964209647015522
42,-1.1670019760715037e-06,0.030836450293533536,3.200835455535287,0.0,8.571428571428571,-204314.11222522208,0.0001853732392191887,-6.17092597407396,2.4005025973546097
43,-1.2243613028877008e-06,0.030837486499847244,3.2008386482676765,0.0,8.775510204081632,-204314.1122252162,0.00018537911819294095,-6.17092597407396,2.6045842300076743
44,-1.0742629292832554e-06,0.030836550260178935,3.2008367004338902,0.0,8.979591836734695,-204314.11222521556,0.000185379758477211,-6.17092597407396,2.8086658626607353
45,-1.1267274612039197e-06,0.030835956623944595,3.2008349256281314,0.0,9.183673469387756,-204314.11222521428,0.0001853810390457511,-6.17092597407396,3.0127474953137963
46,-1.1464075780703862e-06,0.03083616590260153,3.2008365249295,0.0,9.387755102040817,-204314.11222521434,0.00018538098083809018,-6.17092597407396,3.2168291279668573
47,-1.1688994910324834e-06,0.030836277071998614,3.2008358299658326,0.0,9.591836734693878,-204314.1122252145,0.00018538080621510744,-6.17092597407396,3.4209107606199183
48,-1.15670271797447e-06,0.030836503734784002,3.200836005792722,0.0,9.795918367346939,-204314.11222521463,0.00018538068979978561,-6.17092597407396,3.6249923932729793
49,-1.129630863319971e-06,0.030835675970487905,3.2008353454902676,0.0,10.0,-204314.11222521358,0.00018538173753768206,-6.17092597407396,3.8290740259260403
50,-2.0489615592389516e-06,-0.07705462358076326,3.201532892828747,0.30612244897959184,0.0,-204314.11178677346,0.0006238218629732728,-5.864803525094368,-6.17092597407396
51,-2.3109467954693246e-06,-0.0769448569444817,3.201664668327082,0.30612244897959184,0.20408163265306123,-204314.11167579508,0.0007348002400249243,-5.864803525094368,-5.966844341420899
52,-2.640816241502306e-06,-0.07677273803756067,3.2018742029573093,0.30612244897959184,0.40816326530612246,-204314.1114805054,0.000930089910980314,-5.864803525094368,-5.762762708767838
53,-2.7267907542872865e-06,-0.07650010686704481,3.2022031011988723,0.30612244897959184,0.6122448979591837,-204314.1111236903,0.001286905026063323,-5.864803525094368,-5.558681076114777
54,-3.6968344375451214e-06,-0.07606470471311154,3.20273310362541,0.30612244897959184,0.8163265306122449,-204314.11044344402,0.0019671513000503182,-5.864803525094368,-5.354599443461716
55,-4.3386964334359684e-06,-0.07537754266767258,3.203558392957208,0.30612244897959184,1.0204081632653061,-204314.10909139368,0.003319201641716063,-5.864803525094368,-5.150517810808653
56,-6.13334146219169e-06,-0.0742947020506557,3.204863941367984,0.30612244897959184,1.2244897959183674,-204314.10631682797,0.006093767355196178,-5.864803525094368,-4.946436178155592
57,-8.206796857652333e-06,-0.07260977038921566,3.20687438919174,0.30612244897959184,1.4285714285714286,-204314.10055033732,0.01186025800416246,-5.864803525094368,-4.742354545502531
58,-1.09024491785596e-05,-0.0700261438868498,3.20992491571426,0.30612244897959184,1.6326530612244898,-204314.08876955835,0.023641036968911067,-5.864803525094368,-4.53827291284947
59,-1.3916956535846744e-05,-0.06615611947531946,3.2144071850932647,0.30612244897959184,1.836734693877551,-204314.06610422698,0.04630636834190227,-5.864803525094368,-4.334191280196409
60,-1.6466445660605656e-05,-0.060560935568870114,3.2206868126880615,0.30612244897959184,2.0408163265306123,-204314.02756187678,0.0848487185430713,-5.864803525094368,-4.130109647543348
61,-1.8057855467938407e-05,-0.05285502908518825,3.2288681581110565,0.30612244897959184,2.2448979591836737,-204313.97528409548,0.13712649984518066,-5.864803525094368,-3.926028014890285
62,-1.774082347678387e-05,-0.04295427003868146,3.238412028673975,0.30612244897959184,2.4489795918367347,-204313.92945191462,0.18295868069981225,-5.864803525094368,-3.721946382237224
63,-1.4764603274842604e-05,-0.031309597467243155,3.2478227352353763,0.30612244897959184,2.6530612244897958,-204313.92258695615,0.18982363917166367,-5.864803525094368,-3.517864749584163
64,-5.36500013954048e-06,-0.018979496698186712,3.2548839988081695,0.30612244897959184,2.857142857142857,-204313.9626287004,0.14978189492831007,-5.864803525094368,-3.313783116931102
65,1.2324261352380781e-05,-0.007234690217025879,3.2577683422859827,0.30612244897959184,3.0612244897959187,-204314.01333464743,0.09907594788819551,-5.864803525094368,-3.109701484278041
66,3.31804172633672e-05,0.0029994861923564224,3.25607312996909,0.30612244897959184,3.2653061224489797,-204314.0331360515,0.07927454382297583,-5.864803525094368,-2.90561985162498
67,4.782327847062765e-05,0.011362728850562614,3.25076990052416,0.30612244897959184,3.4693877551020407,-204314.01600074404,0.09640985127771273,-5.864803525094368,-2.701538218971919
68,5.032807193847628e-05,0.017882951766104306,3.2433690205550727,0.30612244897959184,3.673469387755102,-204313.98493858307,0.12747201224556193,-5.864803525094368,-2.497456586318858
69,4.1761367351032645e-05,0.022746893045622968,3.2352394686993606,0.30612244897959184,3.8775510204081636,-204313.96546666615,0.14694392916862853,-5.864803525094368,-2.293374953665797
70,2.720681028164602e-05,0.026206867942612837,3.2273997818336837,0.30612244897959184,4.081632653061225,-204313.97022424015,0.1421863551659044,-5.864803525094368,-2.089293321012736
71,1.2659862032240244e-05,0.02852530898572661,3.220468118252939,0.30612244897959184,4.285714285714286,-204313.99568408812,0.11672650719992816,-5.864803525094368,-1.885211688359675
72,1.8308098890283005e-06,0.029970916524974137,3.2147548773249524,0.30612244897959184,4.4897959183673475,-204314.0291727998,0.08323779550846666,-5.864803525094368,-1.6811300557066122
73,-4.282927453422772e-06,0.030800487209235446,3.210349235103397,0.30612244897959184,4.6938775510204085,-204314.059492995,0.05291760031832382,-5.864803525094368,-1.4770484230535512
